Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-KMS5","AtxInfrastructureStack/AtxEncryptionKey/Resource","Compliant","N/A","Error","The KMS Symmetric key does not have automatic key rotation enabled."
"AwsSolutions-S1","AtxInfrastructureStack/OutputBucket/Resource","Suppressed","Access logging not required for short-lived transformation output bucket with 30d lifecycle. Auditable via CloudTrail.","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","AtxInfrastructureStack/OutputBucket/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","AtxInfrastructureStack/OutputBucket/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","AtxInfrastructureStack/OutputBucket/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","AtxInfrastructureStack/OutputBucket/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S1","AtxInfrastructureStack/SourceBucket/Resource","Suppressed","Access logging not required for short-lived source code bucket with 7d lifecycle. Auditable via CloudTrail.","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","AtxInfrastructureStack/SourceBucket/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","AtxInfrastructureStack/SourceBucket/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","AtxInfrastructureStack/SourceBucket/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","AtxInfrastructureStack/SourceBucket/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-IAM4","AtxInfrastructureStack/BatchJobRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/AWSTransformCustomFullAccess] AWSTransformCustomFullAccess is required for AWS Transform API access. This is an AWS-managed policy specifically designed for this service.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AtxInfrastructureStack/BatchJobRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/BatchJobRole/DefaultPolicy/Resource","Suppressed","[Action::s3:Abort*] S3 wildcard permissions are required for dynamic file operations. KMS GenerateDataKey*/ReEncrypt* are standard CDK grant patterns scoped to a single key. Secrets Manager wildcard is scoped to atx/* prefix for credential management.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/BatchJobRole/DefaultPolicy/Resource","Suppressed","[Action::s3:DeleteObject*] S3 wildcard permissions are required for dynamic file operations. KMS GenerateDataKey*/ReEncrypt* are standard CDK grant patterns scoped to a single key. Secrets Manager wildcard is scoped to atx/* prefix for credential management.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/BatchJobRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetBucket*] S3 wildcard permissions are required for dynamic file operations. KMS GenerateDataKey*/ReEncrypt* are standard CDK grant patterns scoped to a single key. Secrets Manager wildcard is scoped to atx/* prefix for credential management.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/BatchJobRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetObject*] S3 wildcard permissions are required for dynamic file operations. KMS GenerateDataKey*/ReEncrypt* are standard CDK grant patterns scoped to a single key. Secrets Manager wildcard is scoped to atx/* prefix for credential management.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/BatchJobRole/DefaultPolicy/Resource","Suppressed","[Action::s3:List*] S3 wildcard permissions are required for dynamic file operations. KMS GenerateDataKey*/ReEncrypt* are standard CDK grant patterns scoped to a single key. Secrets Manager wildcard is scoped to atx/* prefix for credential management.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/BatchJobRole/DefaultPolicy/Resource","Suppressed","[Resource::<OutputBucket7114EB27.Arn>/*] S3 wildcard permissions are required for dynamic file operations. KMS GenerateDataKey*/ReEncrypt* are standard CDK grant patterns scoped to a single key. Secrets Manager wildcard is scoped to atx/* prefix for credential management.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/BatchJobRole/DefaultPolicy/Resource","Suppressed","[Action::kms:GenerateDataKey*] S3 wildcard permissions are required for dynamic file operations. KMS GenerateDataKey*/ReEncrypt* are standard CDK grant patterns scoped to a single key. Secrets Manager wildcard is scoped to atx/* prefix for credential management.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/BatchJobRole/DefaultPolicy/Resource","Suppressed","[Action::kms:ReEncrypt*] S3 wildcard permissions are required for dynamic file operations. KMS GenerateDataKey*/ReEncrypt* are standard CDK grant patterns scoped to a single key. Secrets Manager wildcard is scoped to atx/* prefix for credential management.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/BatchJobRole/DefaultPolicy/Resource","Suppressed","[Resource::<SourceBucketDDD2130A.Arn>/*] S3 wildcard permissions are required for dynamic file operations. KMS GenerateDataKey*/ReEncrypt* are standard CDK grant patterns scoped to a single key. Secrets Manager wildcard is scoped to atx/* prefix for credential management.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/BatchJobRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:secretsmanager:us-east-1:841162671581:secret:atx/*] S3 wildcard permissions are required for dynamic file operations. KMS GenerateDataKey*/ReEncrypt* are standard CDK grant patterns scoped to a single key. Secrets Manager wildcard is scoped to atx/* prefix for credential management.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","AtxInfrastructureStack/BatchExecutionRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AmazonECSTaskExecutionRolePolicy] AmazonECSTaskExecutionRolePolicy is the standard AWS-managed policy for ECS task execution. It provides necessary permissions for ECR, CloudWatch Logs, and Secrets Manager.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AtxInfrastructureStack/BatchExecutionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-EC23","AtxInfrastructureStack/BatchSecurityGroup/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","AtxInfrastructureStack/BatchSecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-IAM4","AtxInfrastructureStack/LambdaSubmitRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole is the standard AWS-managed policy for Lambda CloudWatch Logs access.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaSubmitRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaSubmitRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:batch:us-east-1:841162671581:job-definition/atx-transform-job*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaSubmitRole/DefaultPolicy/Resource","Suppressed","[Resource::*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaSubmitRole/DefaultPolicy/Resource","Suppressed","[Action::s3:Abort*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaSubmitRole/DefaultPolicy/Resource","Suppressed","[Action::s3:DeleteObject*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaSubmitRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetBucket*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaSubmitRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetObject*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaSubmitRole/DefaultPolicy/Resource","Suppressed","[Action::s3:List*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaSubmitRole/DefaultPolicy/Resource","Suppressed","[Resource::<OutputBucket7114EB27.Arn>/*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaSubmitRole/DefaultPolicy/Resource","Suppressed","[Action::kms:GenerateDataKey*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaSubmitRole/DefaultPolicy/Resource","Suppressed","[Action::kms:ReEncrypt*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","AtxInfrastructureStack/LambdaStatusRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole is the standard AWS-managed policy for Lambda CloudWatch Logs access.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaStatusRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaStatusRole/DefaultPolicy/Resource","Suppressed","[Resource::*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaStatusRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetBucket*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaStatusRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetObject*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaStatusRole/DefaultPolicy/Resource","Suppressed","[Action::s3:List*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaStatusRole/DefaultPolicy/Resource","Suppressed","[Resource::<OutputBucket7114EB27.Arn>/*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","AtxInfrastructureStack/LambdaTerminateRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole is the standard AWS-managed policy for Lambda CloudWatch Logs access.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaTerminateRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaTerminateRole/DefaultPolicy/Resource","Suppressed","[Resource::*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaTerminateRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetBucket*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaTerminateRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetObject*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaTerminateRole/DefaultPolicy/Resource","Suppressed","[Action::s3:List*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaTerminateRole/DefaultPolicy/Resource","Suppressed","[Resource::<OutputBucket7114EB27.Arn>/*] Batch DescribeJobs/ListJobs require wildcard resources. S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","AtxInfrastructureStack/LambdaConfigureRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole is the standard AWS-managed policy for Lambda CloudWatch Logs access.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaConfigureRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaConfigureRole/DefaultPolicy/Resource","Suppressed","[Action::s3:Abort*] S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaConfigureRole/DefaultPolicy/Resource","Suppressed","[Action::s3:DeleteObject*] S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaConfigureRole/DefaultPolicy/Resource","Suppressed","[Resource::<SourceBucketDDD2130A.Arn>/*] S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaConfigureRole/DefaultPolicy/Resource","Suppressed","[Action::kms:GenerateDataKey*] S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AtxInfrastructureStack/LambdaConfigureRole/DefaultPolicy/Resource","Suppressed","[Action::kms:ReEncrypt*] S3 and KMS wildcards are standard CDK grant patterns scoped to specific buckets/keys.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","AtxInfrastructureStack/TriggerJobFunction/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-L1","AtxInfrastructureStack/GetJobStatusFunction/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-L1","AtxInfrastructureStack/TerminateJobFunction/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-L1","AtxInfrastructureStack/ListJobsFunction/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-L1","AtxInfrastructureStack/TriggerBatchJobsFunction/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-L1","AtxInfrastructureStack/GetBatchStatusFunction/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-L1","AtxInfrastructureStack/TerminateBatchJobsFunction/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-L1","AtxInfrastructureStack/ListBatchesFunction/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-L1","AtxInfrastructureStack/ConfigureMcpFunction/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
